Date,Open,High,Low,Close,Adj Close,Volume
2006-09-20,24.930000,25.049999,24.920000,25.000000,23.282970,107900
2006-09-21,24.940001,25.049999,24.889999,24.900000,23.189840,21200
2006-09-22,24.760000,24.799999,24.709999,24.799999,23.096708,18100
2006-09-25,24.950001,25.000000,24.900000,25.000000,23.282970,13600
2006-09-26,25.080000,25.110001,25.000000,25.030001,23.310909,73400
2006-09-27,24.950001,24.969999,24.889999,24.950001,23.236406,17600
2006-09-28,24.969999,24.990000,24.930000,24.980000,23.264345,227100
2006-09-29,25.010000,25.030001,24.990000,25.000000,23.282970,400000
2006-10-02,25.000000,25.030001,24.950001,25.010000,23.292284,15100
2006-10-03,25.040001,25.040001,24.990000,25.000000,23.282970,19800
2006-10-04,25.100000,25.160000,25.100000,25.139999,23.413355,34100
2006-10-05,25.180000,25.180000,25.120001,25.150000,23.422670,41800
2006-10-06,25.290001,25.290001,25.230000,25.280001,23.543737,131400
2006-10-09,25.299999,25.420000,25.290001,25.420000,23.674128,61600
2006-10-10,25.480000,25.480000,25.410000,25.450001,23.702065,55000
2006-10-11,25.490000,25.500000,25.400000,25.450001,23.702065,31700
2006-10-12,25.530001,25.559999,25.500000,25.520000,23.767258,30800
2006-10-13,25.590000,25.620001,25.540001,25.580000,23.823133,31600
2006-10-16,25.549999,25.559999,25.469999,25.549999,23.795197,14900
2006-10-17,25.549999,25.570000,25.440001,25.570000,23.813824,127500
2006-10-18,25.650000,25.670000,25.559999,25.629999,23.869699,30000
2006-10-19,25.559999,25.570000,25.500000,25.520000,23.767258,26100
2006-10-20,25.500000,25.540001,25.430000,25.520000,23.767258,42000
2006-10-23,25.490000,25.620001,25.490000,25.590000,23.832449,24400
2006-10-24,25.629999,25.670000,25.600000,25.639999,23.879015,35700
2006-10-25,25.600000,25.610001,25.540001,25.559999,23.804512,51600
2006-10-26,25.420000,25.440001,25.290001,25.379999,23.636871,71300
2006-10-27,25.370001,25.410000,25.299999,25.389999,23.646187,28100
2006-10-30,25.420000,25.469999,25.389999,25.450001,23.702065,27400
2006-10-31,25.530001,25.530001,25.410000,25.480000,23.730003,39600
2006-11-01,25.510000,25.540001,25.450001,25.520000,23.767258,24400
2006-11-02,25.530001,25.549999,25.500000,25.520000,23.767258,22800
2006-11-03,25.590000,25.629999,25.570000,25.590000,23.832449,57800
2006-11-06,25.600000,25.639999,25.530001,25.620001,23.860390,95100
2006-11-07,25.500000,25.580000,25.480000,25.549999,23.795197,43800
